PhysID,ITM_1,ITM_2,ITM_3,ITM_4,ITM_5,ITM_6,ITM_7
1538272190,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Orthopedic Surgery,STATE_IL,TRAMADOL,
1538274287,GENDER_M,HYDROCODONE,SPCLTY_Family Practice,STATE_CA,TRAMADOL,,
1538274816,GENDER_M,OXYCODONE,SPCLTY_General Surgery,STATE_CA,,,
1538282256,GENDER_M,HYDROCODONE,SPCLTY_Internal Medicine,STATE_IL,TRAMADOL,,
1538286620,GENDER_M,HYDROCODONE,SPCLTY_Emergency Medicine,STATE_WV,,,
1538291547,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_General Surgery,STATE_OR,,
1538295712,GENDER_M,HYDROCODONE,SPCLTY_Family Practice,STATE_TX,,,
1538305826,GENDER_F,HYDROCODONE,SPCLTY_Neurosurgery,STATE_NY,,,
1538325824,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Physician Assistant,STATE_NC,TRAMADOL,
1538330238,GENDER_M,OXYCODONE,SPCLTY_Dermatology,STATE_AL,,,
1538330311,GENDER_F,OXYCODONE,SPCLTY_Emergency Medicine,STATE_NY,,,
1538333505,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Emergency Medicine,STATE_WV,,
1538334677,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Orthopedic Surgery,STATE_VA,TRAMADOL,
1538336557,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Pain Management,STATE_NJ,TRAMADOL
1538340856,GENDER_M,HYDROCODONE,SPCLTY_Emergency Medicine,STATE_IL,,,
1538344809,GENDER_M,HYDROCODONE,SPCLTY_Podiatry,STATE_TX,,,
1538361720,GENDER_F,OXYCODONE,SPCLTY_Internal Medicine,STATE_RI,,,
1538364005,GENDER_M,SPCLTY_Family Practice,STATE_OK,TRAMADOL,,,
1538365127,FENTANYL,GENDER_M,SPCLTY_Internal Medicine,STATE_HI,TRAMADOL,,
1538371752,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Emergency Medicine,STATE_AZ,,
1538373352,GENDER_M,HYDROCODONE,SPCLTY_Dentist,STATE_MS,,,
1538373907,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Hematology/Oncology,STATE_AL,
1538378351,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Emergency Medicine,STATE_MA,,
1538380928,GENDER_M,SPCLTY_General Practice,STATE_CA,TRAMADOL,,,
1538387360,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Orthopedic Surgery,STATE_KY,,
1538405139,FENTANYL,GENDER_F,HYDROCODONE,SPCLTY_Nurse Practitioner,STATE_ME,TRAMADOL,
1538436183,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Nurse Practitioner,STATE_TN,TRAMADOL,
1538437611,GENDER_F,HYDROCODONE,SPCLTY_Nurse Practitioner,STATE_WA,TRAMADOL,,
1538456843,GENDER_M,HYDROCODONE,SPCLTY_Family Medicine,STATE_TN,,,
1538463310,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Nurse Practitioner,STATE_TN,TRAMADOL,
1538481601,FENTANYL,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Physician Assistant,STATE_MD,TRAMADOL
1538482658,GENDER_F,HYDROCODONE,SPCLTY_Nurse Practitioner,STATE_KY,,,
1538489158,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Nurse Practitioner,STATE_OR,,
1538490446,GENDER_F,HYDROCODONE,SPCLTY_Internal Medicine,STATE_CA,,,
1538493986,GENDER_F,HYDROCODONE,SPCLTY_Nurse Practitioner,STATE_KY,,,
1538497433,GENDER_F,HYDROCODONE,SPCLTY_Internal Medicine,STATE_CO,,,
1548201007,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Physician Assistant,STATE_OR,TRAMADOL,
1548202518,GENDER_M,HYDROCODONE,SPCLTY_General Surgery,STATE_WI,,,
1548203086,GENDER_M,OXYCODONE,SPCLTY_General Surgery,STATE_PA,,,
1548204290,GENDER_M,HYDROCODONE,SPCLTY_Orthopedic Surgery,STATE_UT,,,
1548205057,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_IN,TRAMADOL
1548206253,GENDER_M,HYDROCODONE,SPCLTY_Emergency Medicine,STATE_NY,,,
1548207814,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Hematology/Oncology,STATE_OK,
1548208671,GENDER_M,HYDROCODONE,SPCLTY_Emergency Medicine,STATE_TX,TRAMADOL,,
1548211410,GENDER_F,HYDROCODONE,SPCLTY_Nurse Practitioner,STATE_KY,,,
1548214299,GENDER_F,OXYCODONE,SPCLTY_Plastic and Reconstru,STATE_RI,,,
1548214778,FENTANYL,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_CO,
1548219751,GENDER_M,HYDROCODONE,SPCLTY_Pulmonary Disease,STATE_TX,,,
1548220593,GENDER_F,OXYCODONE,SPCLTY_Physician Assistant,STATE_MD,,,
